op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.PG2012.EXP_MOD,11,253,3521826,2083141,17.4983844
QuantumArithmetic.PG2012.EXP_MOD,13,296,4259472,3134901,26.3331684
QuantumArithmetic.PG2012.EXP_MOD,16,359,4644782,5354288,49.2594496
QuantumArithmetic.PG2012.EXP_MOD,19,423,5178974,8214039,75.5691588
QuantumArithmetic.PG2012.EXP_MOD,23,506,6133108,13298735,122.348362
QuantumArithmetic.PG2012.EXP_MOD,27,590,6468540,20432355,204.32355
QuantumArithmetic.PG2012.EXP_MOD,32,694,7031700,31175888,311.75888
QuantumArithmetic.PG2012.EXP_MOD,38,819,9087190,48595981,485.95981
QuantumArithmetic.PG2012.EXP_MOD,45,964,13708160,73392872,733.92872
QuantumArithmetic.PG2012.EXP_MOD,54,1149,14508882,113900100,1230.12108
QuantumArithmetic.PG2012.EXP_MOD,64,1355,15690510,169983310,1835.819748
QuantumArithmetic.PG2012.EXP_MOD,76,1602,16436196,249551834,2695.1598072
QuantumArithmetic.PG2012.EXP_MOD,91,1909,17269362,371143319,4008.3478452
QuantumArithmetic.PG2012.EXP_MOD,108,2256,17950152,544742406,6319.0119096
QuantumArithmetic.PG2012.EXP_MOD,128,2665,18858410,786327562,9121.3997192
